Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Multisubbank interleave cycle time (ns), Delay request network (ns), Delay inside mat (ns), Delay reply network (ns), Tag array access time (ns), Refresh period (microsec), DRAM array availability (%), Dynamic read energy (nJ), Dynamic write energy (nJ), Dynamic read power (mW), Standby leakage per bank(mW), Leakage per bank with leak power management (mW), Refresh power as percentage of standby leakage, Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Area efficiency, Resistance per unit micron (ohm-micron), Capacitance per unit micron (fF per micron), Unit-length wire delay (ps), FO4 delay (ps), delay route to bank (including crossb delay) (ps), Crossbar delay (ps), Dyn read energy per access from closed page (nJ), Dyn read energy per access from open page (nJ), Leak power of an subbank with page closed (mW), Leak power of a subbank with page  open (mW), Leak power of request and reply networks (mW), Number of subbanks, Page size in bits, Activate power, Read power, Write power, Precharge power, tRCD, CAS latency, Precharge delay, Perc dyn energy bitlines, perc dyn energy wordlines, perc dyn energy outside mat, Area opt (perc), Delay opt (perc), Repeater opt (perc), Aspect ratio
90, 4194304, 1, 4, 256, 4.96623, 0.6777, 2.34965, 2.34965, 0.4338, 2.18278, 0, 0, 0, 4.34191, 4.26837, 6406.83, 2258.35, 2258.35, 0, 92.2863, 32, 32, 4, 1, 1, 8, 0, 0, 0, 0, 0, 0, 42.9982, 0.381098, 0.302289, 5.76007e-05, 21.2203, 0, 0, 4.34191, 3.98919, 26.5598, 28.1888, 146.648, 16, 9216, 0.108248, 0.696277, 0.623229, 0.27523, 0, 0, 0, 4.91187, 0.249049, 88.3851, 50, 10, 10, 2.02592
65, 16777216, 2, 16, 512, 6.51569, 1.86235, 2.64217, 2.64217, 1.02238, 2.38277, 1.68756, 0, 0, 3.62271, 3.29269, 1945.24, 12007.3, 12007.3, 0, 158.145, 16, 8, 1, 1, 16, 1, 2, 8, 4, 8, 1, 1, 55.2152, 0.734018, 0.282409, 0.000103647, 13.0922, 0.591938, 0, 3.52453, 2.95149, 107.172, 112.059, 648.097, 8, 9216, 0.0791907, 1.29239, 1.44065, 0.536874, 0, 0, 0, 14.0858, 0.107086, 78.3237, 50, 10, 10, 0.623038
