wordWidth, totalDelay, ffDelay, actualDelay
1, 0.0438, 0.0317, 0.0121
2, 0.0531, 0.0359, 0.0172
3, 0.0635, 0.0365, 0.027
4, 0.0675, 0.0351, 0.0324
5, 0.0757, 0.0383, 0.0374
6, 0.0819, 0.0375, 0.0444
8, 0.0950, 0.0355, 0.0595
10, 0.0974, 0.0460, 0.0514
12, 0.1023, 0.0394, 0.0629
16, 0.1343, 0.0340, 0.1003
20, 0.1457, 0.0340, 0.1117
24, 0.1568, 0.0386, 0.1182
32, 0.1454, 0.0481, 0.0973
40, 0.1502, 0.0360, 0.1142
48, 0.1749, 0.0386, 0.1363
64, 0.1569, 0.0338, 0.1231
