wordWidth, totalDelay, ffDelay, actualDelay
1, 0.0521, 0.0318, 0.0203
2, 0.0755, 0.0340, 0.0415
3, 0.0860, 0.0344, 0.0516
4, 0.0918, 0.0316, 0.0602
5, 0.0913, 0.0318, 0.0595
6, 0.0934, 0.0378, 0.0556
8, 0.1116, 0.0385, 0.0731
10, 0.1141, 0.0371, 0.077
12, 0.1271, 0.0372, 0.0899
16, 0.1347, 0.0411, 0.0936
20, 0.1413, 0.0371, 0.1042
24, 0.1486, 0.0356, 0.113
32, 0.1643, 0.0371, 0.1272
40, 0.1668, 0.0369, 0.1299
48, 0.1756, 0.0354, 0.1402
64, 0.1799, 0.0354, 0.1445
