wordWidth, totalDelay, ffDelay, actualDelay
1, 0.0430, 0.0337, 0.0093
2, 0.0556, 0.0358, 0.0198
3, 0.0748, 0.0367, 0.0381
4, 0.1168, 0.0366, 0.0802
5, 0.1739, 0.0456, 0.1283
6, 0.2248, 0.0399, 0.1849
8, 0.4416, 0.0411, 0.4005
10, 0.3681, 0.0410, 0.3271
12, 0.4757, 0.0407, 0.435
16, 0.7051, 0.0365, 0.6686
20, 1.7558, 0.0441, 1.7117
24, 1.3196, 0.0394, 1.2802
32, 1.8634, 0.0542, 1.8092
40, 2.4646, 0.0383, 2.4263
48, 3.0303, 0.0602, 2.9701
64, 4.3624, 0.0329, 4.3295
