wordWidth, totalDelay, ffDelay, actualDelay
1, 0.0438, 0.0317, 0.0121
2, 0.0571, 0.0346, 0.0225
3, 0.0680, 0.0353, 0.0327
4, 0.0693, 0.0344, 0.0349
5, 0.0774, 0.0353, 0.0421
6, 0.0793, 0.0364, 0.0429
8, 0.0778, 0.0357, 0.0421
10, 0.0815, 0.0343, 0.0472
12, 0.0907, 0.0348, 0.0559
16, 0.0982, 0.0358, 0.0624
20, 0.1013, 0.0363, 0.065
24, 0.1121, 0.0357, 0.0764
32, 0.1150, 0.0348, 0.0802
40, 0.1219, 0.0358, 0.0861
48, 0.1253, 0.0376, 0.0877
64, 0.1247, 0.0327, 0.092
